BM_RISE_OF_MACEDONIA;Rise of Macedonia;;;;;;;;;;;;;x
BM_DEATH_OF_A_COLOSSUS;Death of a Colossus;;;;;;;;;;;;;x
BM_DEMISE_OF_THE_ARGEADS;Demise of the Argeads;;;;;;;;;;;;;x
BM_FALL_OF_ANTIGONOS;Fall of Antigonus;;;;;;;;;;;;;x
BM_END_OF_THE_DIADOCHI_WARS;End of the Diadochi Wars;;;;;;;;;;;;;x
DARK_AGES;Rise of Macedonia;;;;;;;;;;;;;x
DARK_AGES_INFO;In 359 BC, the kingdom of Macedon was in turmoil. The Illyrians under Bardylis had conquered much of Macedon, and an expedition led by Perdiccas III to retake the land resulted in his death. He was succeeded by his infant son Amyntas IV but, recognising the perils of such a young king, Perdiccas' younger brother Philip declared himself king shortly after. Other than the Illyrians to the north and west, Philip's immediate problems were the powerful Thracians to his east and the many Greek city-states to the south, the most powerful of which was Athens. Will Philip preserve Macedon's independence, or will he be responsible for its downfall?;;;;;;;;;;;;;x
VIKING_ERA;Death of a Colossus;;;;;;;;;;;;;x
VIKING_ERA_INFO;On the tenth of June 323 BC Alexander the Great died from a fever. Shortly after his death his generals made a compromise about who was to succeed him. Philippos Arrhidaios was to become king and if Alexander's unborn child was male, he too would become king. Furthermore, many of Alexander's generals would become governors and Perdikkas would become regent. Will the Kings somehow protect their rule against the ambition of the generals, or will the empire that Alexander created fall due to internal struggle?;;;;;;;;;;;;;x
EARLY_MED;Demise of the Argeads;;;;;;;;;;;;;x
EARLY_MED_INFO;In order to secure his rule, the regent Cassander ordered the deaths of Alexander IV and and his mother Roxane in 310 BC. Subsequently, the Argead empire collapsed and in the following years the Diadochi would proclaim themselves kings over their respective domains. They would each claim that they were the rightful heirs to Alexander's empire. Amidst the backdrop of the intrigue and bickering of the Diadochi, tribes of Gauls were migrating into the Balkans and subduing the native tribes there. They would soon become a grave threat to the Hellenistic world.;;;;;;;;;;;;;x
HIGH_MED;Fall of Antigonus;;;;;;;;;;;;;x
HIGH_MED_INFO;After the Antigonid defeat during the Babylonian war, they had to give up the eastern satrapies. While Seleucus was consolidating his new gains and fighting the Indians, Antigonus attacked the other Diadochi once again. Cyprus was taken from Ptolemy and most of southern Greece was taken by his son, Demetrius Poliorcetes. Antigonus was still much more powerful than the others which is why the other Diadochi formed a coalition against him. The decisive battle would come at Ipsus in Anatolia. The armies of Seleucus, Cassander and Lysimachus stood against that of Antigonus. Antigonus was killed in the battle, but Demetrius managed to escape.;;;;;;;;;;;;;x
LATE_MED;End of the Diadochi Wars;;;;;;;;;;;;;x
LATE_MED_INFO;In 284 BC Lysimachus, who at this point ruled most of Thrace, Macedonia and Anatolia, had some problems at court. His new wife Arsinoe II, daughter of Ptolemy I, managed to convince Lysimachus to kill his heir Agathocles. The surviving relatives of Agathocles fled to Seleucus' court and solicited his aid. These people were also accompanied by Ptolemy Keraunos, an exiled son of Ptolemy I. Seleucus found an opportunity to expand his realm and invaded Lysimachus' lands. Lysimachus was killed and defeated by Seleucus at the battle of Corupedium in 281 BC. This victory was short-lived: Seleucus was killed while crossing into Europe by Ptolemy Keraunos, who seized Macedonia. With the death of the last of the Diadochi came an end to the wars which had dominated the Middle-East for the last four decades.;;;;;;;;;;;;;x
ERA_CHAR_INFO_803;Philip II of Macedonia was the father of the better known Alexander the Great, but deserves equal recognition. He spent much of his childhood as a hostage in Thebes and this is rumored to have influenced him in his reforms. These reforms gave birth to the Phalangite, whom would dominate Greek warfare for three hundred years to come. Philip II's reign would transform Macedonia from a weak state, barely able to withstand the raids from it's tribal neighbours, to a superpower controlling most of the Greek city-states and Thrace.;;;;;;;;;;;;;x
ERA_CHAR_INFO_140003;Bardyllis was an Illyrian who, apparently from low birth, became king by uniting the Dardanian tribes. He would soon prove to be a menace to the northern Greek states. In Macedonia, he put puppet-kings on the throne and made them pay tribute. He killed many Molossians during his invasion of Epirus and he conquered Upper Macedonia when one of his puppets revolted. However, Bardyllis would be defeated and killed by Philip II and the Dardanians lost most of their conquests as a result.;;;;;;;;;;;;;x
ERA_CHAR_INFO_40114;Kotys was king of the mighty Odrysian kingdom in Thrace. The kingdom was created by Teres I, who succesfully exploited the power vacuum after the departure of the Persians after their disastrous Greek expedition. The Odrysians were able to raise huge armies, although offensives often didn't materialize because of logistical reasons. After Kotys' death, the kingdom would be split between his three sons, which allow Macedonia to conquer Thrace.;;;;;;;;;;;;;x
ERA_CHAR_INFO_90311;Artaxerxes II was the ruler of the mighty Persian empire for forty-six years. The beginning of his reign saw Egypt successfully revolt and an attempt by his younger brother Cyrus, who had the support of ten thousand Greek mercenaries, to seize the throne. He later had to defend Asia Minor from a Spartan invasion. Artaxerxes failed to retake Egyp in his lifetime, but he did foil a joint Egyptian-Spartan invasion of Phoenicia. A large-scale revolt of his satraps was also crushed.;;;;;;;;;;;;;x
ERA_CHAR_INFO_801;Upon Alexander the Great's death, his imbecile brother Philippos Arrhidaios was eventually proclaimed as king, though his appointed regent would actually rule. He soon fell under the sway of his strong-willed wife Eurydice, who spent most of her effort in freeing Philip from the influence of his regents. Eventually Philip and his wife were captured by Olympias, mother of Alexander, who executed them both because they were a threat to the young Alexander IV.;;;;;;;;;;;;;x
